문장ID,원본용어번호,업무카테고리,관련카테고리,금융용어,용어성격,화자,발화유형,한국어 금융문장,생성구분,자연스러움,용어정확성,유사성,동일골격횟수,동일용어내최대유사도,최종판정,검수사유,자동수정안,재검수판정,재검수사유,최종사용문장
KO-FIN-00514,129,국제금융,,국제금융공사,일반개념,고객,확인,국제금융공사과 관련된 거래 조건을 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),낮음,11,0.62,수정 권장,조사 오류: '국제금융공사과' → '국제금융공사와',국제금융공사와 관련된 거래 조건을 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 과도한 유사성 낮음,국제금융공사와 관련된 거래 조건을 확인하고 싶습니다.
KO-FIN-00518,130,국제금융,,국제금융센타,일반개념,고객,확인,국제금융센타과 관련된 거래 조건을 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),낮음,11,0.62,수정 권장,조사 오류: '국제금융센타과' → '국제금융센타와',국제금융센타와 관련된 거래 조건을 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 과도한 유사성 낮음,국제금융센타와 관련된 거래 조건을 확인하고 싶습니다.
KO-FIN-00522,131,국제금융,금융시장·거래,국제금융시장,시스템·인프라,고객,확인,국제금융시장과 관련된 거래 조건을 확인하고 싶습니다.,용어기반,양호,정확,낮음,11,0.62,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,국제금융시장과 관련된 거래 조건을 확인하고 싶습니다.
KO-FIN-00524,131,국제금융,금융시장·거래,국제금융시장,시스템·인프라,금융기관,안내,국제금융시장과 관련된 거래에서는 국가별 규정과 통화를 함께 확인해야 합니다.,용어기반,양호,정확,낮음,11,0.62,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,국제금융시장과 관련된 거래에서는 국가별 규정과 통화를 함께 확인해야 합니다.
KO-FIN-00525,132,증권·예탁,,국제보관기관,기관·조직,고객,질문,국제보관기관이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.549,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,국제보관기관이 무엇인지 설명해 주세요.
KO-FIN-00532,133,금융기관·은행,대출,국제부흥개발은행,기관·조직,금융기관,안내,국제부흥개발은행과 관련된 세부 업무는 해당 기관의 안내를 확인해 주세요.,용어기반,양호,정확,높음,40,0.472,수정 권장,유사 문장구조 반복(40회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,국제부흥개발은행과 관련된 세부 업무는 해당 기관의 안내를 확인해 주세요.
KO-FIN-00535,134,자산운용·투자,,국제분산투자,사람·역할,고객,확인,국제분산투자과 관련된 투자 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),높음,55,0.529,수정 권장,조사 오류: '국제분산투자과' → '국제분산투자와'; 유사 문장구조 반복(55회) 또는 동일 용어 내 유사도 높음,국제분산투자와 관련된 투자 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 과도한 유사성 낮음,국제분산투자와 관련된 투자 정보를 확인하고 싶습니다.
KO-FIN-00538,135,증권·예탁,,국제유가증권관리자협회,기관·조직,고객,확인,국제유가증권관리자협회 처리 절차를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,241,0.719,수정 권장,동일 문장구조가 241회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,국제유가증권관리자협회 처리 절차를 확인하고 싶습니다.
KO-FIN-00541,136,금융시장·거래,자산운용·투자,국제전문가시장,시스템·인프라,고객,질문,국제전문가시장이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.651,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,국제전문가시장이 무엇을 의미하나요?
KO-FIN-00545,137,증권·예탁,,국제정합성,일반개념,고객,질문,국제정합성이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.531,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,국제정합성이 무엇인지 설명해 주세요.
KO-FIN-00549,138,증권·예탁,국제금융,국제증권,상품·증권,고객,질문,국제증권이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.511,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,국제증권이 무엇인지 설명해 주세요.
KO-FIN-00553,139,금융시장·거래,증권·예탁 / 국제금융,국제증권거래소연맹,일반개념,고객,질문,국제증권거래소연맹이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.681,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,국제증권거래소연맹이 무엇을 의미하나요?
KO-FIN-00557,140,증권·예탁,국제금융,국제증권관리위원회연맹,일반개념,고객,질문,국제증권관리위원회연맹이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.623,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,국제증권관리위원회연맹이 무엇인지 설명해 주세요.
KO-FIN-00561,141,증권·예탁,지급결제·청산,국제증권예탁결제기관,기관·조직,고객,질문,국제증권예탁결제기관이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.61,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,국제증권예탁결제기관이 무엇인지 설명해 주세요.
KO-FIN-00566,142,국제금융,,국제통화기금,일반개념,고객,확인,국제통화기금과 관련된 거래 조건을 확인하고 싶습니다.,용어기반,양호,정확,낮음,11,0.62,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,국제통화기금과 관련된 거래 조건을 확인하고 싶습니다.
KO-FIN-00568,142,국제금융,,국제통화기금,일반개념,금융기관,안내,국제통화기금과 관련된 거래에서는 국가별 규정과 통화를 함께 확인해야 합니다.,용어기반,양호,정확,낮음,11,0.62,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,국제통화기금과 관련된 거래에서는 국가별 규정과 통화를 함께 확인해야 합니다.
KO-FIN-00571,143,펀드·신탁,자산운용·투자,국제투자신탁,상품·증권,고객,상담,국제투자신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,용어기반,양호,정확,높음,52,0.5,수정 권장,유사 문장구조 반복(52회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,국제투자신탁에 가입하기 전에 어떤 점을 확인해야 하나요?
KO-FIN-00574,144,채권,,국채,일반개념,고객,확인,국채의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.36,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,국채의 조건과 수익 구조를 확인하고 싶습니다.
KO-FIN-00578,145,채권,금융시장·거래 / 금융기관·은행,국채전문딜러,사람·역할,고객,확인,국채전문딜러의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.448,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,국채전문딜러의 조건과 수익 구조를 확인하고 싶습니다.
KO-FIN-00582,146,채권,증권·예탁 / 금융시장·거래,국채집합등록제도,법규·제도,고객,확인,국채집합등록제도의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.484,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,국채집합등록제도의 조건과 수익 구조를 확인하고 싶습니다.
KO-FIN-00585,147,금융시장·거래,주식,권리락,일반개념,고객,질문,권리락이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.571,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,권리락이 무엇을 의미하나요?
KO-FIN-00591,148,주식,,권리락주가,일반개념,고객,상담,권리락주가과 관련해 투자 전에 확인해야 할 사항이 있나요?,용어기반,미흡,정확(문법 수정),매우 높음,183,0.507,수정 권장,조사 오류: '권리락주가과' → '권리락주가와'; 동일 문장구조가 183회 반복,권리락주가와 관련해 투자 전에 확인해야 할 사항이 있나요?,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,권리락주가와 관련해 투자 전에 확인해야 할 사항이 있나요?
KO-FIN-00593,149,증권·예탁,주식,권리예탁,행위·절차,고객,질문,권리예탁이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.511,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,권리예탁이 무엇인지 설명해 주세요.
KO-FIN-00598,150,증권·예탁,계좌,권리예탁계좌부,일반개념,고객,확인,권리예탁계좌부 처리 절차를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,241,0.679,수정 권장,동일 문장구조가 241회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,권리예탁계좌부 처리 절차를 확인하고 싶습니다.
KO-FIN-00603,151,주식,금융법규·감독 / 법률·계약,권리주,일반개념,고객,상담,권리주과 관련해 투자 전에 확인해야 할 사항이 있나요?,용어기반,미흡,정확(문법 수정),매우 높음,183,0.478,수정 권장,조사 오류: '권리주과' → '권리주와'; 동일 문장구조가 183회 반복,권리주와 관련해 투자 전에 확인해야 할 사항이 있나요?,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,권리주와 관련해 투자 전에 확인해야 할 사항이 있나요?
KO-FIN-00605,152,채권,증권·예탁 / 금융법규·감독 / 주식,권종,일반개념,고객,질문,권종이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.286,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,권종이 무엇인지 설명해 주세요.
KO-FIN-00609,153,금융법규·감독,,규정재정,일반개념,고객,질문,규정재정이 금융거래에 어떻게 적용되나요?,용어기반,양호,정확,낮음,15,0.36,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,규정재정이 금융거래에 어떻게 적용되나요?
KO-FIN-00611,153,금융법규·감독,,규정재정,일반개념,고객,상담,규정재정 때문에 추가로 확인해야 할 사항이 있나요?,용어기반,양호,정확,낮음,15,0.44,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,규정재정 때문에 추가로 확인해야 할 사항이 있나요?
KO-FIN-00614,154,금융공학·분석,주식,그라함 도드모형,일반개념,고객,질문,그라함 도드모형은 금융상품을 분석할 때 어떻게 사용되나요?,용어기반,양호,정확,낮음,15,0.478,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,그라함 도드모형은 금융상품을 분석할 때 어떻게 사용되나요?
KO-FIN-00616,154,금융공학·분석,주식,그라함 도드모형,일반개념,금융기관,안내,그라함 도드모형의 결과는 사용한 가정과 시장 데이터에 따라 달라질 수 있습니다.,용어기반,양호,정확,낮음,15,0.371,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,그라함 도드모형의 결과는 사용한 가정과 시장 데이터에 따라 달라질 수 있습니다.
KO-FIN-00618,155,부동산금융,,근저당,일반개념,고객,확인,근저당과 관련된 금리와 비용을 확인하고 싶습니다.,용어기반,양호,정확,낮음,4,0.394,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,근저당과 관련된 금리와 비용을 확인하고 싶습니다.
KO-FIN-00619,155,부동산금융,,근저당,일반개념,고객,상담,근저당을 이용할 때 필요한 서류는 무엇인가요?,용어기반,양호,정확,낮음,4,0.419,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,근저당을 이용할 때 필요한 서류는 무엇인가요?
KO-FIN-00621,156,주식,,글래머주식,상품·증권,고객,질문,글래머주식이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.4,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,글래머주식이 무엇인지 설명해 주세요.
KO-FIN-00625,157,증권·예탁,,글래스 스티걸법,법규·제도,고객,질문,글래스 스티걸법이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.582,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,글래스 스티걸법이 무엇인지 설명해 주세요.
KO-FIN-00629,158,금융시장·거래,,글로벌 트레이딩,일반개념,고객,질문,글로벌 트레이딩이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.667,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,글로벌 트레이딩이 무엇을 의미하나요?
KO-FIN-00635,159,신용·리스크,,글로벌라이제이션,일반개념,고객,상담,글로벌라이제이션을 줄이려면 어떤 점을 확인해야 하나요?,용어기반,양호,정확,높음,22,0.632,수정 권장,유사 문장구조 반복(22회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,글로벌라이제이션을 줄이려면 어떤 점을 확인해야 하나요?
KO-FIN-00636,159,신용·리스크,,글로벌라이제이션,일반개념,금융기관,주의,글로벌라이제이션은 거래 조건이나 이용 가능 여부에 영향을 줄 수 있습니다.,용어기반,양호,정확,높음,22,0.5,수정 권장,유사 문장구조 반복(22회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,글로벌라이제이션은 거래 조건이나 이용 가능 여부에 영향을 줄 수 있습니다.
KO-FIN-00638,160,채권,,글로벌본드,상품·증권,고객,확인,글로벌본드의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.429,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,글로벌본드의 조건과 수익 구조를 확인하고 싶습니다.
KO-FIN-00641,161,금융시장·거래,,글로컬리제이션,일반개념,고객,질문,글로컬리제이션이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.651,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,글로컬리제이션이 무엇을 의미하나요?
KO-FIN-00646,162,금융기관·은행,주식,금고주,일반개념,고객,질문,금고주에서 이용할 수 있는 금융업무는 무엇인가요?,용어기반,양호,정확,높음,40,0.387,수정 권장,유사 문장구조 반복(40회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금고주에서 이용할 수 있는 금융업무는 무엇인가요?
KO-FIN-00649,163,파생상품,금융시장·거래,금리선물,상품·증권,고객,질문,금리선물이 무엇인지 쉽게 설명해 주세요.,용어기반,양호,정확,높음,53,0.356,유지(대표 1개만),유사 문장구조 반복(53회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금리선물이 무엇인지 쉽게 설명해 주세요.
KO-FIN-00653,164,파생상품,,금리선물옵션,상품·증권,고객,질문,금리선물옵션이 무엇인지 쉽게 설명해 주세요.,용어기반,양호,정확,높음,53,0.408,유지(대표 1개만),유사 문장구조 반복(53회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금리선물옵션이 무엇인지 쉽게 설명해 주세요.
KO-FIN-00657,165,파생상품,대출 / 법률·계약 / 금융시장·거래,금리스왑,상품·증권,고객,질문,금리스왑이 무엇인지 쉽게 설명해 주세요.,용어기반,양호,정확,높음,53,0.356,유지(대표 1개만),유사 문장구조 반복(53회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금리스왑이 무엇인지 쉽게 설명해 주세요.
KO-FIN-00662,166,채권,,금리연동부사채,상품·증권,고객,확인,금리연동부사채의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.467,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,금리연동부사채의 조건과 수익 구조를 확인하고 싶습니다.
KO-FIN-00666,167,채권,,금리확정부사채,상품·증권,고객,확인,금리확정부사채의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.467,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,금리확정부사채의 조건과 수익 구조를 확인하고 싶습니다.
KO-FIN-00671,168,펀드·신탁,,금외신탁,상품·증권,고객,상담,금외신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,용어기반,양호,정확,높음,52,0.458,수정 권장,유사 문장구조 반복(52회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금외신탁에 가입하기 전에 어떤 점을 확인해야 하나요?
KO-FIN-00673,169,금융법규·감독,,금융감독위원회/금융감독원,기관·조직,고객,질문,금융감독위원회/금융감독원이 금융거래에 어떻게 적용되나요?,용어기반,양호,정확,낮음,15,0.529,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금융감독위원회/금융감독원이 금융거래에 어떻게 적용되나요?
KO-FIN-00675,169,금융법규·감독,,금융감독위원회/금융감독원,기관·조직,고객,상담,금융감독위원회/금융감독원 때문에 추가로 확인해야 할 사항이 있나요?,용어기반,양호,정확,낮음,15,0.588,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금융감독위원회/금융감독원 때문에 추가로 확인해야 할 사항이 있나요?
KO-FIN-00677,170,지급결제·청산,금융기관·은행,금융결제원,일반개념,고객,질문,금융결제원이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.531,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,금융결제원이 무엇인지 설명해 주세요.
KO-FIN-00681,171,주식,,금융공학,일반개념,고객,질문,금융공학이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.372,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,금융공학이 무엇인지 설명해 주세요.
KO-FIN-00686,172,금융기관·은행,,금융기관,기관·조직,고객,질문,금융기관에서 이용할 수 있는 금융업무는 무엇인가요?,용어기반,양호,정확,높음,40,0.406,수정 권장,유사 문장구조 반복(40회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금융기관에서 이용할 수 있는 금융업무는 무엇인가요?
KO-FIN-00691,173,금융법규·감독,,금융리스,일반개념,고객,상담,금융리스 때문에 추가로 확인해야 할 사항이 있나요?,용어기반,양호,정확,낮음,15,0.44,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금융리스 때문에 추가로 확인해야 할 사항이 있나요?
KO-FIN-00692,173,금융법규·감독,,금융리스,일반개념,금융기관,안내,금융리스의 적용 범위는 관련 법령과 규정에 따라 달라질 수 있습니다.,용어기반,양호,정확,낮음,15,0.516,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금융리스의 적용 범위는 관련 법령과 규정에 따라 달라질 수 있습니다.
KO-FIN-00696,174,대출,,금융비용,일반개념,은행,안내,금융비용은 심사 결과에 따라 이용 가능 여부가 달라질 수 있습니다.,용어기반,양호,정확,높음,35,0.429,수정 권장,유사 문장구조 반복(35회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금융비용은 심사 결과에 따라 이용 가능 여부가 달라질 수 있습니다.
KO-FIN-00698,175,금융시장·거래,파생상품 / 해외송금·외환,금융선물거래,행위·절차,고객,확인,금융선물거래과 관련된 시장 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),매우 높음,236,0.394,수정 권장,조사 오류: '금융선물거래과' → '금융선물거래와'; 동일 문장구조가 236회 반복,금융선물거래와 관련된 시장 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,금융선물거래와 관련된 시장 정보를 확인하고 싶습니다.
KO-FIN-00702,176,세금,,금융소득종합과세,일반개념,고객,질문,금융소득종합과세의 적용 기준을 알려주세요.,용어기반,양호,정확,낮음,11,0.533,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금융소득종합과세의 적용 기준을 알려주세요.
KO-FIN-00704,176,세금,,금융소득종합과세,일반개념,금융기관,안내,금융소득종합과세의 적용 여부는 거래 유형과 세법에 따라 달라질 수 있습니다.,용어기반,양호,정확,낮음,11,0.493,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금융소득종합과세의 적용 여부는 거래 유형과 세법에 따라 달라질 수 있습니다.
KO-FIN-00705,177,증권·예탁,,금융쇼핑몰,일반개념,고객,질문,금융쇼핑몰이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.531,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,금융쇼핑몰이 무엇인지 설명해 주세요.
KO-FIN-00709,178,금융시장·거래,,금융시장,시스템·인프라,고객,질문,금융시장이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.595,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,금융시장이 무엇을 의미하나요?
KO-FIN-00714,179,세금,,금융실명제,일반개념,고객,질문,금융실명제의 적용 기준을 알려주세요.,용어기반,양호,정확,낮음,11,0.462,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금융실명제의 적용 기준을 알려주세요.
KO-FIN-00716,179,세금,,금융실명제,일반개념,금융기관,안내,금융실명제의 적용 여부는 거래 유형과 세법에 따라 달라질 수 있습니다.,용어기반,양호,정확,낮음,11,0.448,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금융실명제의 적용 여부는 거래 유형과 세법에 따라 달라질 수 있습니다.
KO-FIN-00720,180,대출,,금융어음,상품·증권,은행,안내,금융어음은 심사 결과에 따라 이용 가능 여부가 달라질 수 있습니다.,용어기반,양호,정확,높음,35,0.429,수정 권장,유사 문장구조 반복(35회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,금융어음은 심사 결과에 따라 이용 가능 여부가 달라질 수 있습니다.
